sim_ownership,player_name,team,opp,position,salary,ownership,pos,fp,fp_std,created_own,positive_ev
3.5000000000000004,Cam Sims,WAS,CAR,WR,3300,7.4,WR,9.158594862,6.305405487,6.0,-2.4999999999999996
0.0,Steven Sims Jr.,WAS,CAR,WR,3000,3.7,WR,6.61001778,6.09108144,1.0,-1.0
0.0,Isaiah Wright,WAS,CAR,WR,3000,0.5,WR,5.420056497,4.013977032,0.0,0.0
0.0,Terry McLaurin,WAS,CAR,WR,6700,0.0,WR,3.959380925,5.761020307,0.0,0.0
0.0,Robert Foster,WAS,CAR,WR,3000,0.3,WR,2.01,1.490000918,0.0,0.0
0.0,Dontrelle Inman,WAS,CAR,WR,3000,0.0,WR,0.84,0.0,0.0,0.0
0.0,Antonio Gandy-Golden,WAS,CAR,WR,3000,0.4,WR,0.0,0.0,1.0,-1.0
0.0,Emanuel Hall,WAS,CAR,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Kelvin Harmon,WAS,CAR,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
5.5,Logan Thomas,WAS,CAR,TE,4900,6.2,TE,11.60448954,7.59370905,8.0,-2.5
0.0,Jeremy Sprinkle,WAS,CAR,TE,2500,0.0,TE,0.21,0.0,0.0,0.0
0.0,Temarrick Hemingway,WAS,CAR,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Marcus Baugh,WAS,CAR,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Thaddeus Moss,WAS,CAR,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
2.0,Antonio Gibson,WAS,CAR,RB,6600,4.9,RB,14.26976656,8.070717382,2.0,0.0
0.5,J.D. McKissic,WAS,CAR,RB,6400,3.5,RB,14.25941225,7.379686913,1.0,-0.5
0.0,Peyton Barber,WAS,CAR,RB,4400,0.4,RB,2.61,3.383061168,0.0,0.0
0.0,Lamar Miller,WAS,CAR,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Bryce Love,WAS,CAR,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Mike Warren,WAS,CAR,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Dwayne Haskins Jr.,WAS,CAR,QB,5200,1.7,QB,0.0,0.0,1.0,-1.0
7.000000000000001,WAS Football Team,WAS,CAR,D,3000,7.89,D,6.3,3.15,7.000000000000001,0.0
11.0,DK Metcalf,SEA,LA,WR,7800,3.5,WR,17.22024423,12.12677414,7.000000000000001,3.999999999999999
5.5,Tyler Lockett,SEA,LA,WR,6500,4.5,WR,15.1435848,12.89780177,9.0,-3.5
1.0,David Moore,SEA,LA,WR,3200,1.9,WR,6.700270656,5.540608759,2.0,-1.0
0.0,Freddie Swain,SEA,LA,WR,3000,0.3,WR,2.39,2.564591713,0.0,0.0
0.0,Phillip Dorsett II,SEA,LA,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Penny Hart,SEA,LA,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
