player_name,team,opp,position,salary,ownership
Calvin Ridley,ATL,KC,WR,8500,30.2
Matt Ryan,ATL,KC,QB,5800,3.4
Russell Gage,ATL,KC,WR,5100,6.1
Ito Smith,ATL,KC,RB,4000,5
Hayden Hurst,ATL,KC,TE,3400,3.8
Brandon Powell,ATL,KC,WR,3000,1.7
Falcons,ATL,KC,D,1900,2.19
Christian Blake,ATL,KC,WR,3000,0.3
Todd Gurley II,ATL,KC,RB,4700,1.1
Brian Hill,ATL,KC,RB,4000,0.7
Laquon Treadwell,ATL,KC,WR,3000,0.2
Luke Stocker,ATL,KC,TE,2500,0
Jaeden Graham,ATL,KC,TE,2500,0
Olamide Zaccheaus,ATL,KC,WR,3000,0
Keith Smith,ATL,KC,RB,4000,0
Qadree Ollison,ATL,KC,RB,4000,0
Julio Jones,ATL,KC,WR,6800,0
Lamar Jackson,BAL,NYG,QB,8000,5.4
J.K. Dobbins,BAL,NYG,RB,6200,5.9
Mark Andrews,BAL,NYG,TE,5700,4
Marquise Brown,BAL,NYG,WR,5700,3.4
Ravens,BAL,NYG,D,4000,5.53
Dez Bryant,BAL,NYG,WR,3000,0.4
Gus Edwards,BAL,NYG,RB,4400,2.1
Willie Snead IV,BAL,NYG,WR,3900,1.7
Miles Boykin,BAL,NYG,WR,3100,0.4
Justice Hill,BAL,NYG,RB,4000,0
Eric Tomlinson,BAL,NYG,TE,2500,0
Patrick Ricard,BAL,NYG,RB,4000,0.3
Devin Duvernay,BAL,NYG,WR,3000,0
Nick Boyle,BAL,NYG,TE,2500,0
DeAndrew White,BAL,NYG,WR,3000,0
Chris Moore,BAL,NYG,WR,3000,0
Antoine Wesley,BAL,NYG,WR,3000,0
James Proche,BAL,NYG,WR,3000,0
Mark Ingram II,BAL,NYG,RB,4200,0
Teddy Bridgewater,CAR,WAS,QB,5300,2.5
Mike Davis,CAR,WAS,RB,6500,3.3
Robby Anderson,CAR,WAS,WR,5500,4.4
DJ Moore,CAR,WAS,WR,5800,5.4
Curtis Samuel,CAR,WAS,WR,4900,3.7
Panthers,CAR,WAS,D,2700,6.62
Ian Thomas,CAR,WAS,TE,2500,0.3
Rodney Smith,CAR,WAS,RB,4000,1.9
Pharoh Cooper,CAR,WAS,WR,3000,0
Trenton Cannon,CAR,WAS,RB,4000,0
Chris Manhertz,CAR,WAS,TE,2500,0
Brandon Zylstra,CAR,WAS,WR,3000,0
Alex Armah,CAR,WAS,RB,4000,0
Colin Thompson,CAR,WAS,TE,2500,0
Keith Kirkwood,CAR,WAS,WR,3000,0
Omar Bayless,CAR,WAS,WR,3000,0
Reggie Bonnafon,CAR,WAS,RB,4000,0
Christian McCaffrey,CAR,WAS,RB,9200,0
Mitchell Trubisky,CHI,JAC,QB,5700,9.9
David Montgomery,CHI,JAC,RB,7700,43.5
Allen Robinson II,CHI,JAC,WR,7700,17.5
Darnell Mooney,CHI,JAC,WR,4000,8.7
Cole Kmet,CHI,JAC,TE,3000,5.7
Bears,CHI,JAC,D,3600,5.32
Anthony Miller,CHI,JAC,WR,3200,2.3
Jimmy Graham,CHI,JAC,TE,3100,1.1
Cordarrelle Patterson,CHI,JAC,WR,3000,1.5
Ryan Nall,CHI,JAC,RB,4000,0
Patrick Scales,CHI,JAC,TE,2500,0
Darion Clark,CHI,JAC,TE,2500,0
J.P. Holtz,CHI,JAC,TE,2500,0
Demetrius Harris,CHI,JAC,TE,2500,0
Dwayne Harris,CHI,JAC,WR,3000,0
DeAndre Carter,CHI,JAC,WR,3000,0
Riley Ridley,CHI,JAC,WR,3000,0
Javon Wims,CHI,JAC,WR,3000,0
Tarik Cohen,CHI,JAC,RB,4000,0
Artavis Pierce,CHI,JAC,RB,4000,0
Ryan Finley,CIN,HOU,QB,4800,2.3
Brandon Allen,CIN,HOU,QB,4800,2.3
Giovani Bernard,CIN,HOU,RB,4800,12.7
Tee Higgins,CIN,HOU,WR,4700,17.9
A.J. Green,CIN,HOU,WR,3400,5.1
Alex Erickson,CIN,HOU,WR,3000,2.3
Drew Sample,CIN,HOU,TE,2900,2.1
Bengals,CIN,HOU,D,2300,3.73
Mike Thomas,CIN,HOU,WR,3000,0.4
Trayveon Williams,CIN,HOU,RB,4000,0.5
Samaje Perine,CIN,HOU,RB,4000,1.3
Cethan Carter,CIN,HOU,TE,2500,0
Clark Harris,CIN,HOU,TE,2500,0
CJ Uzomah,CIN,HOU,TE,2500,0
Mason Schreck,CIN,HOU,TE,2500,0
John Ross III,CIN,HOU,WR,3000,0
Auden Tate,CIN,HOU,WR,3000,0
Stanley Morgan,CIN,HOU,WR,3000,0
Tyler Boyd,CIN,HOU,WR,4900,0
Joe Mixon,CIN,HOU,RB,5500,0
Nick Chubb,CLE,NYJ,RB,7800,7.9
Baker Mayfield,CLE,NYJ,QB,6100,4.1
Kareem Hunt,CLE,NYJ,RB,5900,5.1
Austin Hooper,CLE,NYJ,TE,3500,11
Marvin Hall,CLE,NYJ,WR,3000,7.5
Browns,CLE,NYJ,D,3700,7.59
Harrison Bryant,CLE,NYJ,TE,2500,1.7
David Njoku,CLE,NYJ,TE,2500,0.4
Stephen Carlson,CLE,NYJ,TE,2500,0
D'Ernest Johnson,CLE,NYJ,RB,4000,0.3
Odell Beckham Jr.,CLE,NYJ,WR,3000,0
Taywan Taylor,CLE,NYJ,WR,3000,0
JoJo Natson,CLE,NYJ,WR,3000,0
KhaDarel Hodge,CLE,NYJ,WR,3000,0
Andy Janovich,CLE,NYJ,RB,4000,0
Donovan Peoples-Jones,CLE,NYJ,WR,3700,0
Rashard Higgins,CLE,NYJ,WR,4800,0
Jarvis Landry,CLE,NYJ,WR,6900,0
Andy Dalton,DAL,PHI,QB,5500,3.1
Amari Cooper,DAL,PHI,WR,5700,8.6
Ezekiel Elliott,DAL,PHI,RB,6700,2.3
CeeDee Lamb,DAL,PHI,WR,5300,6.1
Michael Gallup,DAL,PHI,WR,4100,4.1
Tony Pollard,DAL,PHI,RB,6500,2.6
Dalton Schultz,DAL,PHI,TE,3200,2.5
Cowboys,DAL,PHI,D,2400,4.65
Cedrick Wilson,DAL,PHI,WR,3000,0
Rico Dowdle,DAL,PHI,RB,4000,0
Blake Bell,DAL,PHI,TE,2500,0
Noah Brown,DAL,PHI,WR,3000,0.3
Blake Jarwin,DAL,PHI,TE,2500,0
Sean McKeon,DAL,PHI,TE,2500,0
Malik Turner,DAL,PHI,WR,3000,0
Sewo Olonilua,DAL,PHI,RB,4000,0
Drew Lock,DEN,LAC,QB,5000,2.5
Melvin Gordon III,DEN,LAC,RB,5600,10.4
Noah Fant,DEN,LAC,TE,4800,6
Tim Patrick,DEN,LAC,WR,4200,3
Jerry Jeudy,DEN,LAC,WR,3700,4
KJ Hamler,DEN,LAC,WR,3200,3.3
Royce Freeman,DEN,LAC,RB,4000,1.8
Broncos,DEN,LAC,D,2300,3.72
Nick Vannett,DEN,LAC,TE,2500,0.2
DaeSean Hamilton,DEN,LAC,WR,3000,0
Austin Fort,DEN,LAC,TE,2500,0
Jake Butt,DEN,LAC,TE,2500,0
Andrew Beck,DEN,LAC,TE,2500,0
Albert Okwuegbunam,DEN,LAC,TE,2500,0
Troy Fumagalli,DEN,LAC,TE,2500,0
Courtland Sutton,DEN,LAC,WR,3000,0
Diontae Spencer,DEN,LAC,WR,3000,0
Tyrie Cleveland,DEN,LAC,WR,3000,0
Phillip Lindsay,DEN,LAC,RB,4200,0
Deshaun Watson,HOU,CIN,QB,7600,7.8
David Johnson,HOU,CIN,RB,6100,11
Brandin Cooks,HOU,CIN,WR,6200,7.7
Keke Coutee,HOU,CIN,WR,5400,3.5
Chad Hansen,HOU,CIN,WR,4400,4.1
Jordan Akins,HOU,CIN,TE,3300,3.1
Texans,HOU,CIN,D,2800,12.82
Buddy Howell,HOU,CIN,RB,4000,0.4
Darren Fells,HOU,CIN,TE,2500,0.2
Steven Mitchell Jr.,HOU,CIN,WR,3000,0.2
Kahale Warring,HOU,CIN,TE,2500,0
Pharaoh Brown,HOU,CIN,TE,2500,0
Isaiah Coulter,HOU,CIN,WR,3000,0
Randall Cobb,HOU,CIN,WR,3000,0
Will Fuller V,HOU,CIN,WR,3000,0
Dontrell Hilliard,HOU,CIN,RB,4000,0
Scottie Phillips,HOU,CIN,RB,4000,0.3
C.J. Prosise,HOU,CIN,RB,4000,0.3
Duke Johnson Jr.,HOU,CIN,RB,5000,0
Jonathan Taylor,IND,PIT,RB,7300,3.7
T.Y. Hilton,IND,PIT,WR,5500,3.3
Philip Rivers,IND,PIT,QB,5600,2.1
Michael Pittman Jr.,IND,PIT,WR,4200,2.6
Nyheim Hines,IND,PIT,RB,5000,2.5
Zach Pascal,IND,PIT,WR,3800,1.9
Colts,IND,PIT,D,3200,3.74
Mo Alie-Cox,IND,PIT,TE,2500,0.4
Jordan Wilkins,IND,PIT,RB,4000,0
Jack Doyle,IND,PIT,TE,2800,0.3
Trey Burton,IND,PIT,TE,2700,1.4
DeMichael Harris,IND,PIT,WR,3000,0
Noah Togiai,IND,PIT,TE,2500,0
Parris Campbell,IND,PIT,WR,3000,0
Ashton Dulin,IND,PIT,WR,3000,0
Dezmon Patmon,IND,PIT,WR,3000,0
Marcus Johnson,IND,PIT,WR,3000,0
Marlon Mack,IND,PIT,RB,4000,0
Gardner Minshew II,JAC,CHI,QB,5200,2.8
Mike Glennon,JAC,CHI,QB,4800,2.2
DJ Chark Jr.,JAC,CHI,WR,4800,3.1
Laviska Shenault Jr.,JAC,CHI,WR,3700,4.8
Keelan Cole Sr.,JAC,CHI,WR,3500,3.1
Dare Ogunbowale,JAC,CHI,RB,4000,3.2
Devine Ozigbo,JAC,CHI,RB,4000,3.1
Chris Conley,JAC,CHI,WR,3000,1.8
Tyler Eifert,JAC,CHI,TE,3000,1.8
Jaguars,JAC,CHI,D,2200,3.31
Ben Ellefson,JAC,CHI,TE,2500,0
Tyler Davis,JAC,CHI,TE,2500,0
Nathan Cottrell,JAC,CHI,RB,4000,0
Eric Saubert,JAC,CHI,TE,2500,0
Josh Oliver,JAC,CHI,TE,2500,0
James O'Shaughnessy,JAC,CHI,TE,2500,0.3
Dede Westbrook,JAC,CHI,WR,3000,0
Collin Johnson,JAC,CHI,WR,3000,0
Chris Thompson,JAC,CHI,RB,4000,0
Ryquell Armstead,JAC,CHI,RB,4000,0
James Robinson,JAC,CHI,RB,6800,0
Patrick Mahomes,KC,ATL,QB,8500,17.7
Tyreek Hill,KC,ATL,WR,9000,20.9
Travis Kelce,KC,ATL,TE,8500,27.6
Le'Veon Bell,KC,ATL,RB,5800,22.1
Sammy Watkins,KC,ATL,WR,5000,4
Mecole Hardman,KC,ATL,WR,3100,5.8
Chiefs,KC,ATL,D,3400,3.87
Darrel Williams,KC,ATL,RB,4200,1.7
Demarcus Robinson,KC,ATL,WR,3900,1.3
Nick Keizer,KC,ATL,TE,2500,0
Darwin Thompson,KC,ATL,RB,4000,0.3
Deon Yelder,KC,ATL,TE,2500,0
James Winchester,KC,ATL,TE,2500,0
Ricky Seals-Jones,KC,ATL,TE,2500,0
Byron Pringle,KC,ATL,WR,3000,0
Anthony Sherman,KC,ATL,RB,4000,0
Clyde Edwards-Helaire,KC,ATL,RB,6000,0
Robert Woods,LA,SEA,WR,7000,9.2
Jared Goff,LA,SEA,QB,5900,3.5
Darrell Henderson Jr.,LA,SEA,RB,4500,11.6
Cooper Kupp,LA,SEA,WR,6600,5.2
Tyler Higbee,LA,SEA,TE,4000,1.4
Malcolm Brown,LA,SEA,RB,4000,2.6
Rams,LA,SEA,D,3100,3.57
Gerald Everett,LA,SEA,TE,2800,1.8
Josh Reynolds,LA,SEA,WR,3200,2.9
Van Jefferson Jr.,LA,SEA,WR,3000,0.3
Johnny Mundt,LA,SEA,TE,2500,0
Brycen Hopkins,LA,SEA,TE,2500,0
Nsimba Webster,LA,SEA,WR,3000,0
Trishton Jackson,LA,SEA,WR,3000,0
Xavier Jones,LA,SEA,RB,4000,0
Raymond Calais,LA,SEA,RB,4000,0
Cam Akers,LA,SEA,RB,6300,0
Austin Ekeler,LAC,DEN,RB,7600,34.2
